localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
Santa Fe,19,Hombre,5.0,2.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Por decisión propia
Santa Fe,38,Hombre,5.0,1.0,Sí,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,59,Hombre,7.0,5.0,Sí,Sí,No,Sí,No,No,No,No,Abuso sexual,Falta de trabajo
Santa Fe,35,Hombre,8.0,1.0,No,Sí,No,No,No,No,No,No,Por decisión propia,Consumo de sustancias psicoactivas
Santa Fe,29,Hombre,12.0,1.0,Sí,No,Sí,No,No,No,No,No,Otra,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,33,Hombre,5.0,1.0,Sí,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,41,Mujer,12.0,11.0,No,No,No,No,No,No,No,No,Otra,Ausencia de redes de apoyo adecuadas
Santa Fe,33,Hombre,12.0,5.0,Sí,Sí,Sí,No,No,No,Sí,No,Otra,Falta de trabajo
Santa Fe,25,Hombre,1.0,2.0,Sí,Sí,Sí,No,No,Sí,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,36,Hombre,3.0,1.0,No,Sí,Sí,Sí,No,Sí,No,No,Pérdida de fuente de ingresos suya o de su hogar,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,,,,,,,,,,,,,,
Santa Fe,44,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,51,Hombre,9.0,2.0,No,Sí,Sí,No,No,No,No,No,Pérdida de redes de apoyo,Por decisión propia
