"globalid","edad_menstrual","recibe_ayuda","migrante","discapacidad","orientacion_sexual","LGBTI"
"{937CD6E4-1C50-42EE-815F-CD7CB2C2770B}",NA,NA,NA,NA,NA,NA
"{0F4FFD7D-1DA8-41CB-B377-089B788C27A3}",NA,0,0,0,2,1
"{4CB5F992-8DB3-4A9B-B059-40923E3B8B7C}",NA,1,0,0,1,0
"{740449BB-A730-4D7D-BA25-3D1F771DFF63}",NA,NA,NA,NA,NA,NA
"{3CC1B4AE-2F54-4D5E-A6F9-423477037BCB}",1,NA,NA,NA,NA,NA
"{6C043A5F-E776-43DC-8128-47D2215888BF}",NA,0,0,0,1,0
"{748D2EC2-8235-465C-A9E5-A6606BCF7956}",NA,0,0,0,1,0
"{457094BF-6DB3-4CC0-84E0-FF33D51B7235}",NA,NA,NA,NA,NA,NA
"{626095AC-6BA3-4572-86F0-44283893E379}",NA,NA,NA,NA,NA,NA
"{8CEB8FEE-117A-44DB-87D5-26BDE01B7EDB}",NA,0,0,0,1,0
"{AA953520-9F41-4284-A5CE-01C0F5AE0523}",NA,1,0,0,1,0
"{89F2AF61-13F2-43B3-B962-DA8C80A899EC}",NA,NA,NA,NA,NA,NA
"{C57F1302-5D31-418D-AB8A-C7842378EBFD}",NA,1,0,0,1,0
"{B5F33127-B4E6-4C5D-BB08-A63ADF3D26E4}",NA,NA,NA,NA,NA,NA
"{ACBBEF02-7969-4C3F-B5C4-BD9EB0184789}",NA,1,0,1,1,0
"{3027487B-316F-466F-9C98-E99334D9A33F}",NA,NA,NA,NA,NA,NA
"{84E0D3B2-C3DB-4760-9674-5B6620ED7B2A}",1,1,0,0,3,1
"{268A6DAE-E99F-4454-9C84-A8A74ECCC9B3}",NA,0,0,0,1,0
"{BA74F763-2758-4DE5-9815-70171C5497E0}",NA,0,1,0,1,0
"{3FE99B10-2E43-4E5C-9E96-40B0868607C5}",NA,0,0,0,1,0
"{68954DFE-609F-4245-869A-A69F227C6176}",NA,0,0,0,1,0
"{7E0FB46B-1322-481B-A891-5EDFF702F968}",NA,0,1,0,1,0
"{AB15D8DC-C801-4364-84E9-B3D93487F91C}",NA,1,0,0,1,0
"{98E8267B-AFDC-4866-A36C-43FD09098F7B}",NA,0,0,0,2,1
"{1A54EA45-1990-413D-84B4-4342C1CDC9FC}",NA,0,0,0,1,0
"{031DA2C9-D58A-4A48-BCEC-4F5CE6007FB8}",NA,NA,NA,NA,NA,NA
"{CD231C1C-D7EB-4300-BDFE-AC6F3D27B9E8}",NA,0,0,0,1,0
"{FDE170AE-D905-4238-84B9-E85AFF419DD5}",NA,NA,NA,NA,NA,NA
"{D72EC7F5-37C3-4DB1-9A38-94B67EEB353C}",NA,1,0,0,1,0
"{9BABDD20-05A9-44FD-9255-90C0B3D91926}",NA,1,0,0,1,0
"{4ABBBFB5-D411-4226-BA5C-75749070B9DE}",NA,0,1,0,1,0
"{1968599E-899D-47D3-AD0D-FE61F371244F}",NA,NA,NA,NA,NA,NA
"{C8A0487F-24C8-4213-B471-38FB875D25FF}",NA,1,1,0,1,0
"{DA00421C-D41A-4FE2-8028-855FE428C6C4}",NA,NA,NA,NA,NA,NA
"{99B141A8-64AC-4B1B-859D-6246F436C823}",2,0,0,0,1,0
"{27DD48DD-B98E-4DB7-B1CD-3BAEDE9757E4}",NA,NA,NA,NA,NA,NA
"{1D94B050-7CAB-4BEB-8923-E9FEC21D87E1}",NA,0,0,0,1,0
"{6FD6497E-1BFE-43A6-957A-55BEFBCE09C5}",NA,1,0,1,1,0
"{7A0020A1-75B6-4612-BB05-243562F44679}",NA,NA,NA,NA,NA,NA
"{D9F3E0B8-FD0C-43D6-A3DB-728AE5FA6543}",NA,1,0,0,1,0
"{CC2189C6-0FC1-436D-927B-445067E3C40C}",NA,NA,NA,NA,NA,NA
"{DF470F29-FAAD-490E-8438-D0084A8514CE}",NA,0,0,0,1,0
"{4030407F-EB71-4238-B9F1-A3D7E895840F}",NA,1,0,0,1,0
"{6A3723A2-ABEF-46EF-9D0C-4D55DD7A96F4}",1,0,0,0,1,0
"{6680901E-A263-4DAA-B4A2-D04323B49316}",NA,NA,NA,NA,NA,NA
"{60C37180-6146-4277-B7A4-6C951B21DF70}",NA,0,0,0,1,0
"{D6320915-DF30-4688-B53B-D677CE0337ED}",NA,1,0,1,1,0
"{727AA41D-AE14-4577-9B4C-EE09AC8A0BC7}",NA,1,0,1,1,0
"{3ACF5988-4AE5-4734-9F77-9883583F26C9}",NA,NA,0,0,7,0
"{4F745663-C462-4EC8-9FD5-A049F264B6F4}",NA,0,0,0,1,0
"{92842AC5-7322-43A7-87FE-5C6AA6BF883B}",NA,0,0,0,1,0
"{752F6606-FADC-47D7-9F3A-644CA82DFD67}",NA,0,0,0,1,0
"{2B7C3E36-24A3-48B9-8D68-77B98BE6FB58}",NA,0,0,0,1,0
"{C65CDCFE-EAD9-4213-B8E8-7777F8413B3A}",NA,0,0,0,1,0
"{4DA5D71C-6A5B-4FAC-BF3A-E58B67A0E5C2}",NA,0,0,0,1,0
"{76232288-E012-4ED5-A469-F8703ECB2394}",1,1,0,0,1,0
"{EBD16820-9851-4661-8277-8DC5CE973C68}",NA,1,0,0,1,0
"{67E913A3-5F7E-4C94-AA02-C0FF14218170}",NA,NA,NA,NA,NA,NA
"{CFE3C0CD-92B6-4560-B260-BE3A58B9E335}",NA,0,0,0,1,0
"{8A3DA201-5E61-43AD-B4BD-437B3E82B074}",NA,0,0,0,1,0
"{B15DA654-2FF1-4C3C-872A-287BB1146D6B}",NA,0,1,1,2,1
"{500F203E-2C46-49D5-A895-9CE9BED2454B}",NA,0,1,1,1,0
"{CE2502ED-6678-4C33-B697-EFC1DD1A7BAC}",NA,1,0,1,1,0
"{5140B92F-C3B1-4C8F-B90C-3F15265311C5}",NA,0,0,0,1,0
"{B8533112-66E8-4B22-9A39-04079E12B6C7}",NA,0,1,0,1,0
"{51656621-93AD-4D52-B2E4-95A659AA762C}",NA,0,0,0,1,0
"{2AC3D77F-A635-4954-A2E6-07859C4D5746}",NA,0,0,0,1,0
"{1ADCB6F3-6B09-4F31-99A8-3E9E70B5E29E}",NA,1,0,0,1,0
"{CECEB498-3904-4E52-8FE9-6BC99D9E1A8A}",NA,1,1,0,1,0
"{CE188AD1-87CB-4CF4-B204-198509D981CE}",NA,NA,NA,NA,NA,NA
"{64472D22-3B99-4AEB-BB04-56F3A91CD5B7}",NA,1,0,0,1,0
"{9464C716-F28D-4F76-8C15-EBB12899D950}",NA,NA,NA,NA,NA,NA
"{BF324E18-C64A-48F2-A560-02FC30F76104}",NA,NA,NA,NA,NA,NA
"{70E33D1A-EA5D-4BD3-81E3-FBE643C55350}",NA,NA,NA,NA,NA,NA
"{73BCFD85-C5CE-4654-8B2C-1FA5F1BC866F}",1,NA,NA,NA,NA,NA
"{6E2D0833-4999-4260-91B3-C023BDC29809}",NA,NA,NA,NA,NA,NA
"{27C811F8-AFF2-4405-B8C5-B9B06DCE6660}",NA,1,0,0,1,0
"{0C8B1B59-38C1-44FE-B9E2-D522558EACBC}",NA,NA,NA,NA,NA,NA
"{924A9B9F-19C4-4F0D-9B2E-E2D2ECE9FAA9}",NA,1,0,0,1,0
"{EC3E37D0-CD5C-4E6F-B359-5B52A9C00036}",NA,1,0,0,1,0
"{BE007079-82A4-46BC-886A-F85074235FF2}",NA,0,0,0,1,0
"{A9F2510F-9739-4EAA-95C3-96EEEF3330D9}",NA,NA,NA,NA,NA,NA
"{94649F34-5E40-4E1F-9D7E-0AC3A42B9345}",NA,NA,NA,NA,NA,NA
"{83AA0DBE-8CA8-49B1-A3E2-119A4ABBD1BC}",NA,NA,NA,NA,NA,NA
"{5BB47250-2090-44E6-BAC9-FD93BD5E5DF4}",NA,NA,NA,NA,NA,NA
"{82A06D6E-9490-4262-97EE-FD13C1826724}",NA,0,0,0,1,0
"{7C8FA57F-B13D-498E-A560-47B247AC3B40}",NA,NA,NA,NA,NA,NA
"{E6B2D950-B83D-4AC6-8F98-3D45F7329357}",1,NA,NA,NA,NA,NA
"{DAB80EC8-F341-4525-9FF0-EA7003BAF599}",NA,1,0,0,1,0
"{956D14A4-8796-4B63-9176-9CE187CDFE01}",NA,0,0,0,1,0
"{D31EB9DB-2D9E-47C9-9B27-971C51FADB27}",NA,NA,NA,NA,NA,NA
"{A1D49249-1F0D-495B-A998-E8AF6919BAA5}",NA,NA,NA,NA,NA,NA
"{19702E6D-CDCE-4689-8505-827ED4690DFB}",NA,NA,NA,NA,NA,NA
"{94CBCDDD-3678-4CB0-B9E5-257641C8FE24}",NA,0,0,0,1,0
"{0177E651-EB10-48BC-96D7-C6771F923759}",NA,0,0,0,1,0
"{3125748E-4AEE-47D9-A2DD-80611F4E900C}",NA,NA,NA,NA,NA,NA
"{0248FD96-5FB1-42C0-81B1-A5B28CF4E011}",NA,1,1,0,1,0
"{4998BFC1-4B60-484E-BFE8-FD6B39722647}",NA,0,0,0,1,0
"{02D2E55D-5F5D-4E65-9CC1-A229605508E1}",NA,0,0,0,1,0
"{9FE56B55-30BA-4E64-8486-63077B3A79A5}",NA,1,0,0,1,0
"{67AA1BBD-7AC5-481A-B96C-6CD645FEE80C}",NA,1,0,0,1,0
"{D51F0D4C-F9CC-490D-9A49-BC23BDEC8F36}",NA,NA,NA,NA,NA,NA
"{3A139F12-7CC2-483F-B9B9-0EDEDB676031}",NA,1,0,1,1,0
"{9E2A625A-FDBC-4CA7-83E4-87147590398F}",NA,1,0,0,1,0
"{1F0E0D6A-71AB-4484-BE44-E68D0322ACCA}",NA,1,0,0,1,0
"{D8D37016-172B-4A6D-9AB9-CEFF05A6B472}",NA,0,0,0,1,0
"{EFCE0E79-4757-48CF-B91E-EABF4CAE25C3}",NA,NA,NA,NA,NA,NA
